feature,mean_abs_shap,mean_signed_shap,pooled_shap_rank,leak_shap_rank,coef_mean,ci_excludes_zero,logreg_rank,stats_n_tasks_sig,equipment_top20
slopeUV0-500_sma3nz_amean,6.266947494105557,0.25517436285326084,1,1,-1.1882118461969022,True,2,16,True
slopeV0-500_sma3nz_amean,2.4602365561870942,-0.3895139043807773,2,59,-1.2445108433230025,True,1,16,False
slopeUV500-1500_sma3nz_amean,2.349245477841911,-0.0945429329077277,3,3,0.7245835648425254,True,3,7,True
hammarbergIndexUV_sma3nz_amean,0.9599954515423922,0.13207770808677707,4,41,0.33771130476840067,True,10,11,False
loudness_sma3_stddevNorm,0.9268176022407028,0.03432179014741617,5,19,-0.10058996938433122,True,40,15,True
loudness_sma3_percentile20.0,0.39401348606133246,0.03493068768184945,6,65,0.35993305708449563,True,8,16,False
alphaRatioUV_sma3nz_amean,0.38149927357474306,0.09272606449718114,7,47,-0.5316631434084594,True,4,11,False
shimmerLocaldB_sma3nz_amean,0.25644643036563175,-0.013783412484468136,8,10,-0.45227770762060265,True,6,13,True
spectralFluxUV_sma3nz_amean,0.2456687751547783,-0.03408288768573702,9,51,0.2789777489733802,True,12,2,False
equivalentSoundLevel_dBp,0.14961362082660132,0.012668790772344783,10,13,0.14644106810016355,False,29,8,True
loudness_sma3_stddevRisingSlope,0.09375037885200273,-0.003269174168837569,11,4,0.13100447235961118,False,31,3,True
hammarbergIndexV_sma3nz_stddevNorm,0.09173036683736517,-0.028496057443156083,12,56,-0.15045191566397692,False,28,12,False
F0semitoneFrom27.5Hz_sma3nz_percentile50.0,0.07949366076482327,0.04174797429973285,13,14,0.011446208949128862,False,95,0,True
loudnessPeaksPerSec,0.07932383474719723,0.011266189720039019,14,32,0.4629950001300614,True,5,10,False
mfcc1V_sma3nz_amean,0.07417302593625194,0.0010684141827545111,15,30,0.27639283089928607,True,13,5,False
