feature,mean_abs_shap,mean_signed_shap,rank
slopeUV0-500_sma3nz_amean,4.348560839085336,-0.18797347751866827,1
mfcc1V_sma3nz_stddevNorm,1.4339144685340253,0.1804305557707075,2
slopeUV500-1500_sma3nz_amean,1.0348268406942087,-0.1774035960318588,3
loudness_sma3_stddevRisingSlope,0.6386009373742574,-0.02543848110227527,4
F0semitoneFrom27.5Hz_sma3nz_pctlrange0-2,0.6008440710863694,-0.024280718183003785,5
VoicedSegmentsPerSec,0.39291508724704705,-0.009369710596593058,6
shimmerLocaldB_sma3nz_stddevNorm,0.3311917086515754,0.03200212820692798,7
mfcc1_sma3_stddevNorm,0.2702251721855289,-0.09151464134815061,8
logRelF0-H1-H2_sma3nz_amean,0.2155684982671893,0.03644521785908924,9
shimmerLocaldB_sma3nz_amean,0.19420379341510297,0.026809011149425608,10
loudness_sma3_amean,0.1847850814883798,-0.022692242159826747,11
loudness_sma3_percentile50.0,0.18166082117269092,0.05422868279820871,12
equivalentSoundLevel_dBp,0.17227595043252406,-0.04931947934256973,13
F0semitoneFrom27.5Hz_sma3nz_percentile50.0,0.15323583951573855,-0.010712002121218415,14
MeanVoicedSegmentLengthSec,0.14528995506319414,-0.023250729226778906,15
slopeV500-1500_sma3nz_stddevNorm,0.1395984962402332,-0.012163958079258954,16
StddevVoicedSegmentLengthSec,0.13210702296781685,-0.04836258468620476,17
logRelF0-H1-H2_sma3nz_stddevNorm,0.11511396763172908,0.03177676891941322,18
loudness_sma3_stddevNorm,0.10849825290468969,-0.04367886507989756,19
F0semitoneFrom27.5Hz_sma3nz_percentile20.0,0.1075659531859719,-0.020902256276901947,20
spectralFlux_sma3_stddevNorm,0.10542064985215724,-0.02120446166189121,21
F0semitoneFrom27.5Hz_sma3nz_meanFallingSlope,0.09470894163453025,-0.0013054541874465162,22
loudness_sma3_percentile80.0,0.09232987495350864,-0.005903217714408029,23
mfcc2_sma3_stddevNorm,0.08710788017029034,-0.0219751920048514,24
F0semitoneFrom27.5Hz_sma3nz_meanRisingSlope,0.07795700162634323,0.010334939899477145,25
mfcc3V_sma3nz_amean,0.07665785222269604,0.009692419366880188,26
F3bandwidth_sma3nz_stddevNorm,0.07407670957169,0.0030930498338013774,27
jitterLocal_sma3nz_amean,0.07323100615762304,0.03162458209035852,28
spectralFluxV_sma3nz_stddevNorm,0.07206407701545206,-0.019700606233330392,29
mfcc1V_sma3nz_amean,0.06489734535088568,-0.018427975642670475,30
alphaRatioV_sma3nz_stddevNorm,0.061136957512347975,0.006454503561094497,31
loudnessPeaksPerSec,0.056043186985139735,-0.00752250490145036,32
F3bandwidth_sma3nz_amean,0.05280609294402232,-0.010529003689893728,33
slopeV0-500_sma3nz_stddevNorm,0.046826769718771026,-0.002973919835895056,34
F1bandwidth_sma3nz_stddevNorm,0.046457594573541275,-0.0030526027303711487,35
F0semitoneFrom27.5Hz_sma3nz_percentile80.0,0.045300353659443536,0.01606901735366479,36
HNRdBACF_sma3nz_amean,0.042816526522841535,0.0014860494622705596,37
F0semitoneFrom27.5Hz_sma3nz_amean,0.042490052912661544,-0.009478391427221417,38
F0semitoneFrom27.5Hz_sma3nz_stddevNorm,0.04133633393554912,-0.0013008411702923372,39
mfcc3V_sma3nz_stddevNorm,0.04002881679530995,0.009148396903844917,40
hammarbergIndexUV_sma3nz_amean,0.039867782058065425,0.0146794077599218,41
loudness_sma3_meanRisingSlope,0.03919370731053895,0.0014611621430864407,42
StddevUnvoicedSegmentLength,0.03838560590019,-0.008728389464369298,43
F0semitoneFrom27.5Hz_sma3nz_stddevFallingSlope,0.03822123334551774,0.0021398950117272764,44
MeanUnvoicedSegmentLength,0.03519830151505134,0.004122947932526025,45
F1frequency_sma3nz_stddevNorm,0.03473407240652265,0.005233007384317302,46
alphaRatioUV_sma3nz_amean,0.03469249266543205,0.015537426252227178,47
mfcc2V_sma3nz_stddevNorm,0.03298817979801252,-0.0008262930179751692,48
F0semitoneFrom27.5Hz_sma3nz_stddevRisingSlope,0.03283776770973391,0.00019060093379984466,49
mfcc1_sma3_amean,0.03168751665512688,-0.00861684016492439,50
spectralFluxUV_sma3nz_amean,0.029632995405572283,0.006099852858743941,51
F2bandwidth_sma3nz_stddevNorm,0.0294181999030633,-0.00031774445050932924,52
F1frequency_sma3nz_amean,0.02843465423395795,-0.008151678029471428,53
F2frequency_sma3nz_stddevNorm,0.028026689061891707,-0.009456367749569145,54
loudness_sma3_pctlrange0-2,0.02709111809203189,-0.002491326406676787,55
hammarbergIndexV_sma3nz_stddevNorm,0.02602002202938992,-0.005905646287375489,56
F1amplitudeLogRelF0_sma3nz_amean,0.025345341466835168,-0.009473666292691661,57
mfcc4_sma3_amean,0.0247335533248631,-0.0070777812078481805,58
slopeV0-500_sma3nz_amean,0.024571049697224668,-0.016867131086267168,59
F2amplitudeLogRelF0_sma3nz_amean,0.024002091547700312,-0.000575314730004904,60
mfcc4_sma3_stddevNorm,0.023930458850898242,-0.0055758160618563195,61
F3amplitudeLogRelF0_sma3nz_amean,0.02135433323268186,-0.004438900497366029,62
mfcc4V_sma3nz_amean,0.021345712513498278,-0.003079486035706062,63
mfcc3_sma3_amean,0.020054827686491833,-0.0016748755418569833,64
loudness_sma3_percentile20.0,0.018939504250728136,-0.005564069016839278,65
F2frequency_sma3nz_amean,0.017139488324393146,-4.329922189115233e-05,66
alphaRatioV_sma3nz_amean,0.015490828173699522,0.0030537832492794252,67
HNRdBACF_sma3nz_stddevNorm,0.015100327902565432,-0.0018775797164111508,68
F3amplitudeLogRelF0_sma3nz_stddevNorm,0.014039641013363772,0.0019052297327196476,69
F3frequency_sma3nz_stddevNorm,0.013288923110134288,0.0011833454554657117,70
F1amplitudeLogRelF0_sma3nz_stddevNorm,0.010684368869488975,-9.643570220381473e-05,71
F1bandwidth_sma3nz_amean,0.010501721547618924,-0.0029428463690143684,72
spectralFluxV_sma3nz_amean,0.010425864247326543,0.00555959248293086,73
hammarbergIndexV_sma3nz_amean,0.00899985872971987,0.004803926920033835,74
logRelF0-H1-A3_sma3nz_stddevNorm,0.0089627926954427,-0.001158100102420644,75
spectralFlux_sma3_amean,0.00870965996444771,-0.0003239915162851667,76
mfcc2_sma3_amean,0.008217627087211552,-0.0008621660082130354,77
F2amplitudeLogRelF0_sma3nz_stddevNorm,0.00730184660131973,-0.0009199457071054448,78
F2bandwidth_sma3nz_amean,0.007133495572820024,-0.000569124440400797,79
loudness_sma3_meanFallingSlope,0.006485091463613515,0.0028270670626393715,80
mfcc3_sma3_stddevNorm,0.004559324114508835,-0.0022534653473075565,81
mfcc4V_sma3nz_stddevNorm,0.004322158560264921,-0.0016249593257550519,82
jitterLocal_sma3nz_stddevNorm,0.004272568745603222,0.001251221726283504,83
F3frequency_sma3nz_amean,0.004150426198344434,0.00012479882002500492,84
slopeV500-1500_sma3nz_amean,0.0037886798961789124,-0.0013514804131145256,85
mfcc2V_sma3nz_amean,0.001962854157028112,-0.0005548675494193857,86
task_FB1,0.0019052250373940898,-0.00026291209306565183,87
loudness_sma3_stddevFallingSlope,0.0014958945728305287,-0.0003384299283351651,88
logRelF0-H1-A3_sma3nz_amean,0.0011999534523456465,-0.0003232434231429166,89
task_VU1,0.0009377704392177019,-0.00045562135771721893,90
task_B2,0.0005105865110258416,0.00011924180711979471,91
task_B1,0.00040164553778244093,-3.083280384724668e-05,92
task_D1,0.00023696884941317063,8.597937703020263e-05,93
task_D2,0.00010328048207301454,-7.720643333040904e-05,94
task_VU2,1.5804422103895616e-06,-9.344849036908194e-07,95
task_VE2,4.674211833956524e-08,-3.3460369507253745e-08,96
task_VI2,9.131000693166449e-09,-7.963772663139679e-09,97
task_VA2,0.0,0.0,98
task_VE1,0.0,0.0,99
task_VI1,0.0,0.0,100
task_VO1,0.0,0.0,101
task_VO2,0.0,0.0,102
task_PR1,0.0,0.0,103
task_VA1,0.0,0.0,104
