feature,mean_abs_shap,mean_signed_shap,rank
slopeV0-500_sma3nz_amean,0.06981086139937673,0.008207912214841833,1
spectralFluxV_sma3nz_stddevNorm,0.04001112096795287,0.0040741994179476024,2
slopeUV0-500_sma3nz_amean,0.031220383659405493,-0.0013638762770233417,3
loudness_sma3_stddevNorm,0.03078005973471866,0.0016139179782169715,4
slopeV0-500_sma3nz_stddevNorm,0.02982303024569889,0.002321567827048334,5
hammarbergIndexUV_sma3nz_amean,0.02738512868126702,0.0011587076299290463,6
spectralFlux_sma3_stddevNorm,0.02412642714135199,0.004620008083476748,7
alphaRatioV_sma3nz_stddevNorm,0.023691820199272497,0.0005522413171187272,8
hammarbergIndexV_sma3nz_stddevNorm,0.01992625233760684,0.0012692819686763266,9
alphaRatioUV_sma3nz_amean,0.01862723539302703,0.0020326127484642884,10
mfcc1V_sma3nz_stddevNorm,0.013541696037251057,0.0010660855557735958,11
mfcc4V_sma3nz_amean,0.007794156372457186,0.00012680345037837653,12
F3amplitudeLogRelF0_sma3nz_stddevNorm,0.0077687256709038114,2.909027006252171e-05,13
HNRdBACF_sma3nz_stddevNorm,0.007455843971030879,0.0019122775871098564,14
loudness_sma3_percentile50.0,0.006484354542520549,0.0009481352514552573,15
logRelF0-H1-H2_sma3nz_amean,0.006446499565406939,-0.0006226764279193287,16
shimmerLocaldB_sma3nz_amean,0.005900398125041447,0.001708587630408978,17
equivalentSoundLevel_dBp,0.005900075666345142,-3.2898744780315256e-05,18
F1frequency_sma3nz_stddevNorm,0.005657643792574474,0.001059387241937227,19
loudness_sma3_percentile20.0,0.005349509788955407,0.000991310511856577,20
mfcc4_sma3_amean,0.0052877292283125205,-0.00020042224988313815,21
hammarbergIndexV_sma3nz_amean,0.005147868755551289,0.000543221251426992,22
slopeUV500-1500_sma3nz_amean,0.004499046476920635,0.0005117681667848815,23
mfcc1_sma3_amean,0.004434886256251326,0.0002561406595860537,24
mfcc3V_sma3nz_amean,0.00434596457053748,0.0005126802392642828,25
loudnessPeaksPerSec,0.0042418890850864826,-0.00015066093386425868,26
mfcc1V_sma3nz_amean,0.003020835465295117,-0.00011505595656760265,27
loudness_sma3_pctlrange0-2,0.002918282097706565,0.0008804430034565384,28
loudness_sma3_amean,0.0028450269027028717,-0.0004287312512726157,29
F2bandwidth_sma3nz_stddevNorm,0.0026984193722077903,0.0010845813677688495,30
F3frequency_sma3nz_amean,0.002683264274353101,0.0009528912763693483,31
F3frequency_sma3nz_stddevNorm,0.0026075179931830724,7.94261663462251e-05,32
MeanVoicedSegmentLengthSec,0.002474669267098398,-0.000113657326400189,33
alphaRatioV_sma3nz_amean,0.002429309051449506,0.0003594400161634061,34
