feature,mean_abs_shap,mean_signed_shap,rank
slopeUV0-500_sma3nz_amean,6.266947494105557,0.25517436285326084,1
slopeV0-500_sma3nz_amean,2.4602365561870942,-0.3895139043807773,2
slopeUV500-1500_sma3nz_amean,2.349245477841911,-0.0945429329077277,3
hammarbergIndexUV_sma3nz_amean,0.9599954515423922,0.13207770808677707,4
loudness_sma3_stddevNorm,0.9268176022407028,0.03432179014741617,5
loudness_sma3_percentile20.0,0.39401348606133246,0.03493068768184945,6
alphaRatioUV_sma3nz_amean,0.38149927357474306,0.09272606449718114,7
shimmerLocaldB_sma3nz_amean,0.25644643036563175,-0.013783412484468136,8
spectralFluxUV_sma3nz_amean,0.2456687751547783,-0.03408288768573702,9
equivalentSoundLevel_dBp,0.14961362082660132,0.012668790772344783,10
loudness_sma3_stddevRisingSlope,0.09375037885200273,-0.003269174168837569,11
hammarbergIndexV_sma3nz_stddevNorm,0.09173036683736517,-0.028496057443156083,12
F0semitoneFrom27.5Hz_sma3nz_percentile50.0,0.07949366076482327,0.04174797429973285,13
loudnessPeaksPerSec,0.07932383474719723,0.011266189720039019,14
mfcc1V_sma3nz_amean,0.07417302593625194,0.0010684141827545111,15
logRelF0-H1-H2_sma3nz_amean,0.06614718521251144,-0.02372560335380843,16
spectralFlux_sma3_amean,0.06194296520680998,-0.019738278361105595,17
mfcc1_sma3_stddevNorm,0.06102352601768562,-0.013667840814181365,18
F0semitoneFrom27.5Hz_sma3nz_amean,0.059816450885385807,0.001111781138124038,19
loudness_sma3_percentile80.0,0.04903140450820425,-0.024995276051526686,20
F0semitoneFrom27.5Hz_sma3nz_percentile20.0,0.04648251740563683,0.009263009238425978,21
F3amplitudeLogRelF0_sma3nz_amean,0.041211766178866606,-0.01638913125586807,22
MeanUnvoicedSegmentLength,0.03984741722285782,-0.02353836807641412,23
HNRdBACF_sma3nz_amean,0.03467229837387699,0.002534515487063017,24
F3amplitudeLogRelF0_sma3nz_stddevNorm,0.029153192078229525,-0.010548888258944872,25
loudness_sma3_pctlrange0-2,0.015952375715289603,0.0009976077155654888,26
loudness_sma3_amean,0.015740055169150755,-0.006828967160433495,27
F1amplitudeLogRelF0_sma3nz_amean,0.014793445446064838,-0.0009337478910474206,28
logRelF0-H1-A3_sma3nz_stddevNorm,0.01321940270460995,-0.004659620981581497,29
F1amplitudeLogRelF0_sma3nz_stddevNorm,0.01250679756617115,-0.0038088368040248956,30
mfcc2_sma3_amean,0.012426739316136332,0.0004878359104749866,31
spectralFlux_sma3_stddevNorm,0.011240884319495202,0.002500189514498095,32
spectralFluxV_sma3nz_stddevNorm,0.01078467863236694,-6.731401676833688e-05,33
mfcc1V_sma3nz_stddevNorm,0.010581517962327171,0.004002700767703709,34
alphaRatioV_sma3nz_stddevNorm,0.0073355924676669,0.0010921360125045923,35
spectralFluxV_sma3nz_amean,0.007224011756352189,-0.004066195958365318,36
HNRdBACF_sma3nz_stddevNorm,0.006903703632364908,0.002098634489523444,37
mfcc4V_sma3nz_stddevNorm,0.005599399991840314,-0.0018710386878414884,38
F1bandwidth_sma3nz_stddevNorm,0.0049214872715480145,-0.001168533801730678,39
jitterLocal_sma3nz_amean,0.004767315311645122,0.004251708072737953,40
logRelF0-H1-H2_sma3nz_stddevNorm,0.004760614091678625,-0.0010491378458033981,41
F0semitoneFrom27.5Hz_sma3nz_percentile80.0,0.004554662062097324,-0.001400592637410556,42
