task,classifier,feature_set,fold,n_train,n_test,auc,bal_acc,f1
B1,logreg,egemaps,0,32,9,1.0,0.9,0.8888888888888888
B1,logreg,egemaps,1,33,8,1.0,1.0,1.0
B1,logreg,egemaps,2,33,8,1.0,1.0,1.0
B1,logreg,egemaps,3,33,8,1.0,1.0,1.0
B1,logreg,egemaps,4,33,8,1.0,1.0,1.0
B1,rf,egemaps,0,32,9,1.0,1.0,1.0
B1,rf,egemaps,1,33,8,1.0,1.0,1.0
B1,rf,egemaps,2,33,8,1.0,1.0,1.0
B1,rf,egemaps,3,33,8,1.0,1.0,1.0
B1,rf,egemaps,4,33,8,1.0,1.0,1.0
B1,gbm,egemaps,0,32,9,1.0,1.0,1.0
B1,gbm,egemaps,1,33,8,1.0,1.0,1.0
B1,gbm,egemaps,2,33,8,1.0,1.0,1.0
B1,gbm,egemaps,3,33,8,1.0,1.0,1.0
B1,gbm,egemaps,4,33,8,1.0,1.0,1.0
B1,xgb,egemaps,0,32,9,1.0,1.0,1.0
B1,xgb,egemaps,1,33,8,1.0,1.0,1.0
B1,xgb,egemaps,2,33,8,0.8333333333333334,0.8333333333333333,0.9090909090909091
B1,xgb,egemaps,3,33,8,1.0,1.0,1.0
B1,xgb,egemaps,4,33,8,1.0,1.0,1.0
B1,logreg,w2v2,0,32,9,1.0,0.9,0.8888888888888888
B1,logreg,w2v2,1,33,8,1.0,1.0,1.0
B1,logreg,w2v2,2,33,8,1.0,1.0,1.0
B1,logreg,w2v2,3,33,8,1.0,1.0,1.0
B1,logreg,w2v2,4,33,8,1.0,1.0,1.0
B1,rf,w2v2,0,32,9,1.0,0.9,0.8888888888888888
B1,rf,w2v2,1,33,8,1.0,0.8333333333333333,0.9090909090909091
B1,rf,w2v2,2,33,8,1.0,1.0,1.0
B1,rf,w2v2,3,33,8,1.0,0.8,0.75
B1,rf,w2v2,4,33,8,1.0,1.0,1.0
B1,gbm,w2v2,0,32,9,1.0,1.0,1.0
B1,gbm,w2v2,1,33,8,1.0,1.0,1.0
B1,gbm,w2v2,2,33,8,0.7333333333333334,0.7333333333333334,0.8
B1,gbm,w2v2,3,33,8,0.9666666666666668,0.9,0.8888888888888888
B1,gbm,w2v2,4,33,8,1.0,1.0,1.0
B1,xgb,w2v2,0,32,9,1.0,1.0,1.0
B1,xgb,w2v2,1,33,8,1.0,0.8333333333333333,0.9090909090909091
B1,xgb,w2v2,2,33,8,0.7333333333333334,0.7333333333333334,0.8
B1,xgb,w2v2,3,33,8,0.8333333333333334,0.8333333333333333,0.9090909090909091
B1,xgb,w2v2,4,33,8,1.0,1.0,1.0
B2,logreg,egemaps,0,30,8,1.0,1.0,1.0
B2,logreg,egemaps,1,30,8,1.0,0.875,0.8888888888888888
B2,logreg,egemaps,2,30,8,1.0,1.0,1.0
B2,logreg,egemaps,3,31,7,1.0,0.875,0.8571428571428571
B2,logreg,egemaps,4,31,7,1.0,1.0,1.0
B2,rf,egemaps,0,30,8,1.0,1.0,1.0
B2,rf,egemaps,1,30,8,1.0,1.0,1.0
B2,rf,egemaps,2,30,8,1.0,1.0,1.0
B2,rf,egemaps,3,31,7,1.0,0.875,0.8571428571428571
B2,rf,egemaps,4,31,7,1.0,1.0,1.0
B2,gbm,egemaps,0,30,8,1.0,1.0,1.0
B2,gbm,egemaps,1,30,8,1.0,1.0,1.0
B2,gbm,egemaps,2,30,8,1.0,1.0,1.0
B2,gbm,egemaps,3,31,7,1.0,1.0,1.0
B2,gbm,egemaps,4,31,7,1.0,1.0,1.0
B2,xgb,egemaps,0,30,8,1.0,1.0,1.0
B2,xgb,egemaps,1,30,8,1.0,1.0,1.0
B2,xgb,egemaps,2,30,8,0.875,0.875,0.8888888888888888
B2,xgb,egemaps,3,31,7,1.0,1.0,1.0
B2,xgb,egemaps,4,31,7,1.0,1.0,1.0
B2,logreg,w2v2,0,30,8,1.0,1.0,1.0
B2,logreg,w2v2,1,30,8,1.0,1.0,1.0
B2,logreg,w2v2,2,30,8,1.0,1.0,1.0
B2,logreg,w2v2,3,31,7,1.0,0.875,0.8571428571428571
B2,logreg,w2v2,4,31,7,1.0,1.0,1.0
B2,rf,w2v2,0,30,8,0.9375,0.875,0.8888888888888888
B2,rf,w2v2,1,30,8,1.0,0.875,0.8888888888888888
B2,rf,w2v2,2,30,8,1.0,1.0,1.0
B2,rf,w2v2,3,31,7,0.9166666666666667,0.875,0.8571428571428571
B2,rf,w2v2,4,31,7,1.0,1.0,1.0
B2,gbm,w2v2,0,30,8,0.9375,0.75,0.75
B2,gbm,w2v2,1,30,8,1.0,0.875,0.8888888888888888
B2,gbm,w2v2,2,30,8,1.0,1.0,1.0
B2,gbm,w2v2,3,31,7,0.8333333333333334,0.7083333333333333,0.75
B2,gbm,w2v2,4,31,7,0.875,0.875,0.8571428571428571
B2,xgb,w2v2,0,30,8,1.0,1.0,1.0
B2,xgb,w2v2,1,30,8,0.90625,0.875,0.8888888888888888
B2,xgb,w2v2,2,30,8,1.0,1.0,1.0
B2,xgb,w2v2,3,31,7,0.875,0.875,0.8571428571428571
B2,xgb,w2v2,4,31,7,0.875,0.875,0.8571428571428571
D1,logreg,egemaps,0,34,9,1.0,1.0,1.0
D1,logreg,egemaps,1,34,9,1.0,0.875,0.9090909090909091
D1,logreg,egemaps,2,34,9,1.0,1.0,1.0
D1,logreg,egemaps,3,35,8,1.0,1.0,1.0
D1,logreg,egemaps,4,35,8,1.0,0.875,0.8571428571428571
D1,rf,egemaps,0,34,9,1.0,1.0,1.0
D1,rf,egemaps,1,34,9,1.0,1.0,1.0
D1,rf,egemaps,2,34,9,1.0,1.0,1.0
D1,rf,egemaps,3,35,8,1.0,1.0,1.0
D1,rf,egemaps,4,35,8,1.0,1.0,1.0
D1,gbm,egemaps,0,34,9,1.0,1.0,1.0
D1,gbm,egemaps,1,34,9,1.0,1.0,1.0
D1,gbm,egemaps,2,34,9,1.0,1.0,1.0
D1,gbm,egemaps,3,35,8,1.0,1.0,1.0
D1,gbm,egemaps,4,35,8,1.0,1.0,1.0
D1,xgb,egemaps,0,34,9,0.875,0.875,0.9090909090909091
