task,feature_set,classifier,n_folds,auc_mean,auc_std,bal_acc_mean,bal_acc_std,f1_mean,f1_std
B1,egemaps,gbm,5,1.0,0.0,1.0,0.0,1.0,0.0
B1,egemaps,logreg,5,1.0,0.0,0.98,0.045,0.978,0.05
B1,egemaps,rf,5,1.0,0.0,1.0,0.0,1.0,0.0
B1,egemaps,xgb,5,0.967,0.075,0.967,0.075,0.982,0.041
B1,w2v2,gbm,5,0.94,0.116,0.927,0.116,0.938,0.091
B1,w2v2,logreg,5,1.0,0.0,0.98,0.045,0.978,0.05
B1,w2v2,rf,5,1.0,0.0,0.907,0.092,0.91,0.103
B1,w2v2,xgb,5,0.913,0.124,0.88,0.117,0.924,0.083
B2,egemaps,gbm,5,1.0,0.0,1.0,0.0,1.0,0.0
B2,egemaps,logreg,5,1.0,0.0,0.95,0.068,0.949,0.07
B2,egemaps,rf,5,1.0,0.0,0.975,0.056,0.971,0.064
B2,egemaps,xgb,5,0.975,0.056,0.975,0.056,0.978,0.05
B2,w2v2,gbm,5,0.929,0.075,0.842,0.116,0.849,0.105
B2,w2v2,logreg,5,1.0,0.0,0.975,0.056,0.971,0.064
B2,w2v2,rf,5,0.971,0.041,0.925,0.068,0.927,0.068
B2,w2v2,xgb,5,0.931,0.064,0.925,0.068,0.921,0.074
D1,egemaps,gbm,5,1.0,0.0,1.0,0.0,1.0,0.0
D1,egemaps,logreg,5,1.0,0.0,0.95,0.068,0.953,0.067
D1,egemaps,rf,5,1.0,0.0,1.0,0.0,1.0,0.0
D1,egemaps,xgb,5,0.9,0.105,0.9,0.105,0.897,0.137
D1,w2v2,gbm,5,0.975,0.056,0.95,0.068,0.964,0.05
D1,w2v2,logreg,5,0.988,0.028,0.975,0.056,0.971,0.064
D1,w2v2,rf,5,1.0,0.0,0.975,0.056,0.982,0.041
D1,w2v2,xgb,5,0.975,0.056,0.955,0.062,0.96,0.056
D2,egemaps,gbm,5,1.0,0.0,1.0,0.0,1.0,0.0
D2,egemaps,logreg,5,1.0,0.0,1.0,0.0,1.0,0.0
D2,egemaps,rf,5,1.0,0.0,1.0,0.0,1.0,0.0
D2,egemaps,xgb,5,0.975,0.056,0.975,0.056,0.982,0.041
D2,w2v2,gbm,5,0.954,0.073,0.877,0.15,0.893,0.136
D2,w2v2,logreg,5,1.0,0.0,0.975,0.056,0.971,0.064
D2,w2v2,rf,5,1.0,0.0,0.93,0.11,0.938,0.091
D2,w2v2,xgb,5,0.908,0.146,0.908,0.146,0.938,0.085
FB1,egemaps,gbm,5,1.0,0.0,1.0,0.0,1.0,0.0
FB1,egemaps,logreg,5,1.0,0.0,1.0,0.0,1.0,0.0
FB1,egemaps,rf,5,1.0,0.0,1.0,0.0,1.0,0.0
FB1,egemaps,xgb,5,0.925,0.112,0.925,0.112,0.938,0.091
FB1,w2v2,gbm,5,0.838,0.185,0.792,0.186,0.803,0.192
FB1,w2v2,logreg,5,1.0,0.0,1.0,0.0,1.0,0.0
FB1,w2v2,rf,5,1.0,0.0,1.0,0.0,1.0,0.0
FB1,w2v2,xgb,5,0.85,0.163,0.85,0.163,0.867,0.131
PR1,egemaps,gbm,5,1.0,0.0,1.0,0.0,1.0,0.0
PR1,egemaps,logreg,5,1.0,0.0,1.0,0.0,1.0,0.0
PR1,egemaps,rf,5,1.0,0.0,1.0,0.0,1.0,0.0
PR1,egemaps,xgb,5,0.975,0.056,0.975,0.056,0.982,0.041
PR1,w2v2,gbm,5,0.93,0.065,0.827,0.064,0.857,0.053
PR1,w2v2,logreg,5,1.0,0.0,0.98,0.045,0.978,0.05
PR1,w2v2,rf,5,0.98,0.045,0.89,0.072,0.883,0.089
PR1,w2v2,xgb,5,0.955,0.062,0.885,0.08,0.893,0.071
VA1,egemaps,gbm,5,0.99,0.022,0.95,0.068,0.964,0.05
VA1,egemaps,logreg,5,1.0,0.0,0.95,0.068,0.964,0.05
VA1,egemaps,rf,5,0.98,0.027,0.93,0.102,0.942,0.089
VA1,egemaps,xgb,5,0.97,0.067,0.925,0.112,0.948,0.075
VA1,w2v2,gbm,5,0.732,0.15,0.655,0.086,0.681,0.101
VA1,w2v2,logreg,5,0.93,0.067,0.84,0.133,0.855,0.102
VA1,w2v2,rf,5,0.77,0.148,0.67,0.145,0.714,0.118
VA1,w2v2,xgb,5,0.72,0.175,0.69,0.181,0.758,0.139
VA2,egemaps,gbm,5,0.86,0.153,0.84,0.128,0.826,0.152
VA2,egemaps,logreg,5,0.93,0.157,0.825,0.17,0.799,0.19
VA2,egemaps,rf,5,0.955,0.076,0.875,0.043,0.865,0.039
VA2,egemaps,xgb,5,0.915,0.132,0.845,0.067,0.847,0.069
VA2,w2v2,gbm,5,0.749,0.189,0.665,0.134,0.668,0.129
VA2,w2v2,logreg,5,0.92,0.125,0.795,0.101,0.787,0.133
VA2,w2v2,rf,5,0.79,0.159,0.76,0.194,0.768,0.177
VA2,w2v2,xgb,5,0.728,0.236,0.69,0.163,0.695,0.162
VE1,egemaps,gbm,5,0.97,0.045,0.825,0.143,0.874,0.087
VE1,egemaps,logreg,5,0.97,0.067,0.96,0.089,0.95,0.112
VE1,egemaps,rf,5,1.0,0.0,0.975,0.056,0.982,0.041
VE1,egemaps,xgb,5,0.98,0.045,0.91,0.142,0.915,0.144
VE1,w2v2,gbm,5,0.75,0.186,0.655,0.155,0.677,0.146
VE1,w2v2,logreg,5,0.875,0.09,0.835,0.104,0.858,0.083
VE1,w2v2,rf,5,0.868,0.142,0.79,0.166,0.818,0.144
VE1,w2v2,xgb,5,0.87,0.14,0.795,0.099,0.815,0.062
VE2,egemaps,gbm,5,0.85,0.129,0.81,0.155,0.798,0.152
VE2,egemaps,logreg,5,0.93,0.097,0.815,0.126,0.821,0.125
VE2,egemaps,rf,5,1.0,0.0,0.91,0.088,0.893,0.107
VE2,egemaps,xgb,5,0.98,0.045,0.875,0.109,0.879,0.097
VE2,w2v2,gbm,5,0.76,0.222,0.64,0.275,0.658,0.255
VE2,w2v2,logreg,5,0.87,0.14,0.805,0.225,0.799,0.229
VE2,w2v2,rf,5,0.84,0.156,0.8,0.226,0.809,0.227
VE2,w2v2,xgb,5,0.825,0.171,0.7,0.2,0.725,0.175
VI1,egemaps,gbm,5,0.95,0.112,0.9,0.173,0.911,0.145
VI1,egemaps,logreg,5,0.93,0.13,0.89,0.08,0.887,0.089
VI1,egemaps,rf,5,0.98,0.045,0.87,0.139,0.865,0.151
VI1,egemaps,xgb,5,0.96,0.055,0.875,0.139,0.861,0.15
VI1,w2v2,gbm,5,0.82,0.239,0.815,0.197,0.853,0.145
VI1,w2v2,logreg,5,0.9,0.127,0.845,0.159,0.831,0.193
VI1,w2v2,rf,5,0.9,0.094,0.8,0.161,0.794,0.188
VI1,w2v2,xgb,5,0.865,0.108,0.795,0.099,0.815,0.062
VI2,egemaps,gbm,5,0.908,0.084,0.795,0.078,0.763,0.141
VI2,egemaps,logreg,5,0.95,0.112,0.95,0.068,0.953,0.067
VI2,egemaps,rf,5,0.95,0.112,0.91,0.052,0.905,0.055
VI2,egemaps,xgb,5,0.944,0.084,0.88,0.089,0.877,0.089
VI2,w2v2,gbm,5,0.812,0.131,0.715,0.049,0.729,0.036
VI2,w2v2,logreg,5,0.888,0.128,0.785,0.136,0.783,0.126
VI2,w2v2,rf,5,0.893,0.081,0.81,0.108,0.8,0.112
VI2,w2v2,xgb,5,0.888,0.093,0.785,0.124,0.783,0.126
VO1,egemaps,gbm,5,0.949,0.058,0.815,0.126,0.835,0.126
VO1,egemaps,logreg,5,0.95,0.112,0.955,0.062,0.949,0.07
VO1,egemaps,rf,5,0.975,0.056,0.9,0.1,0.888,0.114
VO1,egemaps,xgb,5,0.97,0.045,0.87,0.082,0.87,0.098
VO1,w2v2,gbm,5,0.805,0.123,0.775,0.139,0.795,0.129
VO1,w2v2,logreg,5,0.9,0.117,0.845,0.096,0.842,0.11
VO1,w2v2,rf,5,0.9,0.127,0.81,0.108,0.817,0.124
VO1,w2v2,xgb,5,0.86,0.139,0.73,0.198,0.749,0.208
