classifier,feature_set,fold,n_train,n_test,auc,bal_acc,f1
logreg,egemaps,0,554,127,0.9995039682539683,0.9765625,0.976
logreg,egemaps,1,545,136,0.9836530078465563,0.9838709677419355,0.9866666666666667
logreg,egemaps,2,541,140,0.9764267990074441,0.8823407775020677,0.9101796407185628
logreg,egemaps,3,540,141,0.9943181818181819,0.9700689935064934,0.9743589743589743
logreg,egemaps,4,544,137,0.8971095772217429,0.8849223468507335,0.8776978417266187
rf,egemaps,0,554,127,0.9997519841269842,0.9920634920634921,0.9922480620155039
rf,egemaps,1,545,136,0.9999999999999999,0.9919354838709677,0.9932885906040269
rf,egemaps,2,541,140,0.9785980148883375,0.8870967741935484,0.9176470588235294
rf,egemaps,3,540,141,1.0,0.9921875,0.9935483870967742
rf,egemaps,4,544,137,0.9676445211389129,0.9078947368421053,0.8985507246376812
gbm,egemaps,0,554,127,0.996031746031746,0.9606894841269842,0.9606299212598425
gbm,egemaps,1,545,136,1.0,1.0,1.0
gbm,egemaps,2,541,140,0.978287841191067,0.935483870967742,0.9512195121951219
gbm,egemaps,3,540,141,0.9995941558441559,0.9856939935064934,0.987012987012987
gbm,egemaps,4,544,137,0.9839301121656601,0.9210526315789473,0.9142857142857143
xgb,egemaps,0,554,127,0.9982638888888888,0.9763144841269842,0.9767441860465116
xgb,egemaps,1,545,136,1.0,1.0,1.0
xgb,egemaps,2,541,140,0.9611248966087675,0.8823407775020677,0.9101796407185628
xgb,egemaps,3,540,141,0.9987824675324676,0.9856939935064934,0.987012987012987
xgb,egemaps,4,544,137,0.9743313201035375,0.9407894736842105,0.9370629370629371
logreg,w2v2,0,554,127,0.9947916666666666,0.9523809523809523,0.9552238805970149
logreg,w2v2,1,545,136,0.9997820401046208,0.9838709677419355,0.9866666666666667
logreg,w2v2,2,541,140,0.9530603804797353,0.8870967741935484,0.9176470588235294
logreg,w2v2,3,540,141,0.9961444805194806,0.9765625,0.9808917197452229
logreg,w2v2,4,544,137,0.8669111302847282,0.8947368421052632,0.8823529411764706
rf,w2v2,0,554,127,0.9756944444444444,0.9208829365079365,0.9253731343283582
rf,w2v2,1,545,136,0.9823452484742807,0.9152136006974716,0.9281045751633987
rf,w2v2,2,541,140,0.9636062861869312,0.8662117452440032,0.8994082840236687
rf,w2v2,3,540,141,0.981635551948052,0.9466314935064934,0.9559748427672956
rf,w2v2,4,544,137,0.823662640207075,0.7421268334771354,0.7464788732394366
gbm,w2v2,0,554,127,0.9828869047619048,0.8892609126984127,0.8970588235294118
gbm,w2v2,1,545,136,0.9906277244986922,0.9300348735832606,0.9411764705882353
gbm,w2v2,2,541,140,0.9654673283705542,0.9129445822994211,0.9333333333333333
gbm,w2v2,3,540,141,0.9912743506493507,0.958400974025974,0.9605263157894737
gbm,w2v2,4,544,137,0.847497842968076,0.8012295081967213,0.8028169014084507
xgb,w2v2,0,554,127,0.982390873015873,0.8892609126984127,0.8970588235294118
xgb,w2v2,1,545,136,0.9910636442894507,0.9287271142109852,0.9419354838709677
xgb,w2v2,2,541,140,0.955541770057899,0.9048800661703889,0.927710843373494
xgb,w2v2,3,540,141,0.9853896103896104,0.927150974025974,0.9358974358974359
xgb,w2v2,4,544,137,0.8494391716997411,0.8127696289905091,0.821917808219178
