task,marker,feature,n,n_pd,n_elderly,beta_pd,se,t,p,q
B1,F0semitoneFrom27.5Hz_sma3nz_amean,F0semitoneFrom27.5Hz_sma3nz_amean,41,24,17,-0.7216154499169289,0.7623382759507106,-0.9465816851672622,0.3499933214981613,0.5236882004988429
B1,F0semitoneFrom27.5Hz_sma3nz_stddevNorm,F0semitoneFrom27.5Hz_sma3nz_stddevNorm,41,24,17,-0.05224921779213781,0.008688196993734014,-6.013815965478257,6.013970909804681e-07,9.961965930594106e-06
B1,F0semitoneFrom27.5Hz_sma3nz_percentile20.0,F0semitoneFrom27.5Hz_sma3nz_percentile20.0,41,24,17,0.7800153167423538,0.7875339398605308,0.9904529535330141,0.32838610935665447,0.5025735238849668
B1,F0semitoneFrom27.5Hz_sma3nz_percentile50.0,F0semitoneFrom27.5Hz_sma3nz_percentile50.0,41,24,17,0.08628839396050036,0.7904902392121255,0.10915807644443938,0.9136669873135908,0.9450595543874021
B1,F0semitoneFrom27.5Hz_sma3nz_percentile80.0,F0semitoneFrom27.5Hz_sma3nz_percentile80.0,41,24,17,-1.0331486476608012,0.7965798190587426,-1.2969806953954643,0.20266767463734847,0.3607535851951791
B1,F0semitoneFrom27.5Hz_sma3nz_pctlrange0-2,F0semitoneFrom27.5Hz_sma3nz_pctlrange0-2,41,24,17,-1.8131639644031563,0.3619251412899958,-5.0097762148840115,1.368622094174626e-05,0.00014169264033807893
B1,F0semitoneFrom27.5Hz_sma3nz_meanRisingSlope,F0semitoneFrom27.5Hz_sma3nz_meanRisingSlope,41,24,17,-34.93265325919076,28.34226652535772,-1.2325285709926073,0.22552631750919583,0.3853653580739657
B1,F0semitoneFrom27.5Hz_sma3nz_stddevRisingSlope,F0semitoneFrom27.5Hz_sma3nz_stddevRisingSlope,41,24,17,-184.6741264685997,55.23294480594044,-3.3435502509860298,0.0019035959647686913,0.00902445494408861
B1,F0semitoneFrom27.5Hz_sma3nz_meanFallingSlope,F0semitoneFrom27.5Hz_sma3nz_meanFallingSlope,41,24,17,-38.08359331912878,9.522274902459612,-3.999421746298435,0.00029207221783869055,0.0018951045286491996
B1,F0semitoneFrom27.5Hz_sma3nz_stddevFallingSlope,F0semitoneFrom27.5Hz_sma3nz_stddevFallingSlope,41,24,17,-109.7615889804224,31.633389731297736,-3.4698016846365807,0.0013399740585867811,0.006786631203202114
B1,loudness_sma3_amean,loudness_sma3_amean,41,24,17,-0.07720571069089374,0.03808181242287923,-2.027364397302404,0.04987434625668701,0.12791089167470915
B1,loudness_sma3_stddevNorm,loudness_sma3_stddevNorm,41,24,17,0.21052985740590785,0.04872409863544967,4.320856892214213,0.00011220826530411632,0.0008403682848308286
B1,loudness_sma3_percentile20.0,loudness_sma3_percentile20.0,41,24,17,-0.03905302629645967,0.007959076947603162,-4.9067280733126095,1.8811607435674548e-05,0.0001839357171488178
B1,loudness_sma3_percentile50.0,loudness_sma3_percentile50.0,41,24,17,-0.1053851617985947,0.03218465660177843,-3.274391369233109,0.0023020547139051416,0.01052367869213779
B1,loudness_sma3_percentile80.0,loudness_sma3_percentile80.0,41,24,17,-0.08557326724321541,0.06952744443001886,-1.230784015502642,0.22617068234755,0.38599796453981866
B1,loudness_sma3_pctlrange0-2,loudness_sma3_pctlrange0-2,41,24,17,-0.046520242307717445,0.0649666173367871,-0.7160637911399388,0.478447231674095,0.6434132781252394
B1,loudness_sma3_meanRisingSlope,loudness_sma3_meanRisingSlope,41,24,17,-1.2517543494373826,0.7529878512573448,-1.6623831942934986,0.10488624575849588,0.22894429362750876
